file,name,codec,duration,resolution,streams,content_class,family_id
/mnt/data/semantic_pass_cross_domain_stage19/clean_media/43fc98_track_menu_preview_01_trimmed_30970E12_30AEF1CE.pss,43fc98_track_menu_preview_01_trimmed_30970E12_30AEF1CE.pss,mpeg2video,8.84,512x256,1,track_menu_preview_fmv,track_menu_preview_family_01
/mnt/data/semantic_pass_cross_domain_stage15/clean_media/43fc67_challenge_preview_01_33A18A37_33A18A37.pss,43fc67_challenge_preview_01_33A18A37_33A18A37.pss,mpeg2video,16.72,512x256,1,challenge_preview_fmv,challenge_preview_family_misc
/mnt/data/semantic_pass_cross_domain_stage15/clean_media/43fc67_menu_background_segment_01_39A35E38_39A35E38.pss,43fc67_menu_background_segment_01_39A35E38_39A35E38.pss,mpeg2video,25.92,512x256,1,menu_background_fmv,menu_background_family_01
/mnt/data/semantic_pass_cross_domain_stage15/clean_media/43fc67_menu_background_segment_02_39A09E38_39A09E38.pss,43fc67_menu_background_segment_02_39A09E38_39A09E38.pss,mpeg2video,25.48,512x256,1,menu_background_fmv,menu_background_family_01
/mnt/data/semantic_pass_cross_domain_stage12/clean_media/43fc6f_challenge_preview_02_34670A3F_34B18A3F.pss,43fc6f_challenge_preview_02_34670A3F_34B18A3F.pss,mpeg2video,19.8,512x256,1,challenge_preview_fmv,challenge_preview_family_misc
/mnt/data/semantic_pass_cross_domain_stage12/clean_media/43fc6f_challenge_preview_03_34B5CA43_350B4A43.pss,43fc6f_challenge_preview_03_34B5CA43_350B4A43.pss,mpeg2video,23.76,512x256,1,challenge_preview_fmv,challenge_preview_family_misc
/mnt/data/semantic_pass_cross_domain_stage12/clean_media/43fc6f_menu_background_01_39B31E38_3A389E38.pss,43fc6f_menu_background_01_39B31E38_3A389E38.pss,mpeg2video,55.16,512x256,1,menu_background_fmv,menu_background_family_01
/mnt/data/semantic_pass_cross_domain_stage12/clean_media/43fc6d_43fc6d_challenge_preview_01_33028A2F_33428A2F.pss,43fc6d_43fc6d_challenge_preview_01_33028A2F_33428A2F.pss,mpeg2video,16.08,512x256,1,challenge_preview_fmv,challenge_preview_family_misc
/mnt/data/semantic_pass_cross_domain_stage12/clean_media/43fc6f_challenge_preview_01_328C4A2B_32E14A2B.pss,43fc6f_challenge_preview_01_328C4A2B_32E14A2B.pss,mpeg2video,23.16,512x256,1,challenge_preview_fmv,challenge_preview_family_misc
/mnt/data/semantic_pass_43fc6f_stage7/unique_media/challenge_preview_01_BANK_14_328C4A2B_32E14A2B.pss,challenge_preview_01_BANK_14_328C4A2B_32E14A2B.pss,mpeg2video,23.16,512x256,1,challenge_preview_fmv,challenge_preview_family_misc
/mnt/data/semantic_pass_43fc6f_stage7/unique_media/challenge_preview_02_BANK_16_34670A3F_34B18A3F.pss,challenge_preview_02_BANK_16_34670A3F_34B18A3F.pss,mpeg2video,19.8,512x256,1,challenge_preview_fmv,challenge_preview_family_misc
/mnt/data/semantic_pass_43fc6f_stage7/unique_media/challenge_preview_03_BANK_17_34B5CA43_350B4A43.pss,challenge_preview_03_BANK_17_34B5CA43_350B4A43.pss,mpeg2video,23.76,512x256,1,challenge_preview_fmv,challenge_preview_family_misc
/mnt/data/semantic_pass_43fc6f_stage7/unique_media/menu_background_01_BANK_20_39B31E38_3A389E38.pss,menu_background_01_BANK_20_39B31E38_3A389E38.pss,mpeg2video,55.16,512x256,1,menu_background_fmv,menu_background_family_01
