rank,field_pos,start_hex,support,video,audio,vcodec,width,height,duration
1,0x094,3603C454,9,True,False,mpeg2video,512,256,1.320000
2,0x008,37FA8764,3,True,False,mpeg2video,512,256,1.040000
3,0x0A4,3B3DCF88,3,True,False,mpeg2video,512,256,1.200000
4,0x020,39B0DFED,3,True,False,mpeg2video,512,256,0.840000
5,0x088,3936BFFA,3,True,False,mpeg2video,512,256,0.760000
6,0x01C,31F8D0CF,2,True,False,mpeg2video,512,256,0.920000
7,0x028,37B488BD,1,True,False,mpeg2video,512,256,1.160000
8,0x094,1AB2C937,3,True,False,,0,0,0.680000
9,0x01C,20160000,2,True,False,,0,0,0.760000
10,0x024,00000000,2,True,False,,0,0,1.200000
11,0x028,00000000,2,True,False,,0,0,1.200000
12,0x014,00000000,2,True,False,,0,0,1.200000
13,0x0A4,075BB1B8,2,True,False,,0,0,0.960000
14,0x088,01306207,9,True,False,,0,0,65813.471611
15,0x0A4,1BB93A03,3,True,False,,0,0,0.000011
16,0x094,19E6CF4D,2,True,False,,0,0,24055.987878
17,0x020,201E0000,2,False,True,,,,0.720000
18,0x020,03D044BD,2,False,True,,,,0.680000
19,0x028,22B1DD8D,2,False,True,,,,0.880000
20,0x01C,36717544,1,False,True,,,,0.720000
