family,body_prefix,field,raw_value,normalization_const,normalized_value,duration,codecs,has_video,has_audio,contact_sheet
43fc86,7243,pos008,2445427570,0x60000000,834814834,,mpeg2video,True,False,43fc86_7243_pos008_91C24372_minus_60000000_31C24372.png
43fc86,7243,pos014,3123820724,0xa0000000,439466164,11.64,mpeg2video,True,False,43fc86_7243_pos014_BA31B8B4_minus_A0000000_1A31B8B4.png
43fc86,7243,pos028,3021048742,0x80000000,873565094,11.96,mpeg2video,True,False,43fc86_7243_pos028_B4118BA6_minus_80000000_34118BA6.png
43fc86,7243,pos088,3855065814,0xb0000000,902275798,17.48,mpeg2video,True,False,43fc86_7243_pos088_E5C7A2D6_minus_B0000000_35C7A2D6.png
43fc86,7243,pos024,1069498335,0x20000000,532627423,15.78,mpeg1video,True,False,43fc86_7243_pos024_3FBF3FDF_minus_20000000_1FBF3FDF.png
43fc9a,7321,pos020,4003739520,0xd0000000,514078592,,"mp2,mpeg2video",True,True,43fc9a_7321_pos020_EEA43780_minus_D0000000_1EA43780.png
43fc9a,7321,pos020,1264352611,0x40000000,190610787,,mpeg1video,True,False,43fc9a_7321_pos020_4B5C7D63_minus_40000000_0B5C7D63.png
43fc9a,7321,pos020,1558100056,0x20000000,1021229144,10.68,mpeg2video,True,False,43fc9a_7321_pos020_5CDEB858_minus_20000000_3CDEB858.png
43fc9a,7321,pos020,2474588544,0x70000000,595540352,,mpeg1video,True,False,43fc9a_7321_pos020_937F3980_minus_70000000_237F3980.png
43fc9a,7321,pos020,2633239968,0x80000000,485756320,11.3,"mp2,mpeg1video",True,True,43fc9a_7321_pos020_9CF40DA0_minus_80000000_1CF40DA0.png
43fc9a,7321,pos020,2633812737,0x80000000,486329089,11.9,"mp2,mpeg1video",True,True,
43fc9a,7321,pos020,2633812737,0x90000000,217893633,10.72,mp3,True,True,
