field_pos,value_hex,support
136,0x0D96B8BB,6
136,0x07F00260,3
136,0x0066AB6F,3
136,0x0337DFF8,3
136,0x2905626F,2
136,0x2CCB09D0,2
136,0x00B3D537,2
136,0x0C53239D,1
148,0x00FBFA00,6
148,0x31821C53,3
148,0x0A069434,3
148,0x2D415AE1,3
148,0x11608FCC,2
148,0x00B56444,2
148,0x00600044,2
148,0x070AADBB,1
148,0x3867A22C,1
148,0x3A35B25F,1
32,0x108E7F07,3
32,0x01843B61,3
32,0x00C29D30,3
32,0x4603F4CE,3
8,0x219590B9,14
8,0x29148BDD,3
20,0x16ED038C,7
20,0x0E397F37,6
20,0x21AF612C,5
20,0x0283F9FB,3
20,0x178C141C,3
28,0x11CF01B4,3
28,0x0EA0FD03,3
28,0x07D0FD03,3
28,0x26D9CD36,3
28,0x1A212126,1
36,0x3FA10CCB,7
36,0x04AD5E5C,5
36,0x41EA4DC1,3
36,0x0FA73725,3
40,0x0D0034D8,7
40,0x397DDE48,3
40,0x3E6FA487,3
40,0x36D2BC6E,3
40,0x36A448D2,1
164,0x40E22D9E,4
164,0x009C6F9F,3
164,0x20464307,3
164,0x48BCC593,3
164,0x03C454EC,2
164,0x300884B1,2
164,0x00CEB7CF,2
164,0x3E7FEEBC,1
164,0x4139A0ED,1
