path,path_offset_hex,prev_marker_hex,match_kind,prelude_off_hex,target_off_hex,control_hex,delta_bytes
FMV\FUJ3.PSS,0x5422,0x53ea,prev_marker,0x1488,0x53f0,0xe264,6
FMV\FUJ3.PSS,0x5422,0x53ea,string,0x1020,0x542d,0x4147,11
FMV\FUJ3.PSS,0x5422,0x53ea,string,0xd50,0x5414,0x5c,14
FMV\FUJ3.PSS,0x5422,0x53ea,string,0x660,0x5434,0x60,18
FMV\FUJ3.PSS,0x5422,0x53ea,prev_marker,0x79c,0x5400,0x4c47,22
FMV\FUJ3.PSS,0x5422,0x53ea,prev_marker,0xe84,0x5400,0x603d,22
FMV\FUJ3.PSS,0x5422,0x53ea,prev_marker,0x16dc,0x5400,0x420,22
FMV\FUJ3.PSS,0x5422,0x53ea,prev_marker,0xf94,0x5401,0x35d,23
FMV\GO2.PSS,0x6d35,0x6d00,prev_marker,0x3f0,0x6d01,0x5f,1
FMV\GO2.PSS,0x6d35,0x6d00,prev_marker,0x2ac,0x6d06,0x580d,6
FMV\GO2.PSS,0x6d35,0x6d00,string,0x14f0,0x6d40,0xf,11
FMV\GO2.PSS,0x6d35,0x6d00,string,0x1248,0x6d5c,0x304e,39
FMV\GO2.PSS,0x6d35,0x6d00,string,0x2ac,0x6d06,0x580d,47
FMV\GO2.PSS,0x6d35,0x6d00,string,0x3f0,0x6d01,0x5f,52
FMV\GO2.PSS,0x6d35,0x6d00,prev_marker,0x14f0,0x6d40,0xf,64
FMV\GO2.PSS,0x6d35,0x6d00,prev_marker,0xdd8,0x6cb8,0x60,72
FMV\MICROIDS.PSS,0x786c,0x783a,string,0xc94,0x786c,0x100,0
FMV\MICROIDS.PSS,0x786c,0x783a,string,0x774,0x785e,0xf37,14
FMV\MICROIDS.PSS,0x786c,0x783a,string,0xfcc,0x785e,0x8c00,14
FMV\MICROIDS.PSS,0x786c,0x783a,string,0x1598,0x7880,0x6908,20
FMV\MICROIDS.PSS,0x786c,0x783a,prev_marker,0x774,0x785e,0xf37,36
FMV\MICROIDS.PSS,0x786c,0x783a,prev_marker,0xfcc,0x785e,0x8c00,36
FMV\MICROIDS.PSS,0x786c,0x783a,prev_marker,0xc94,0x786c,0x100,50
FMV\MICROIDS.PSS,0x786c,0x783a,prev_marker,0x1598,0x7880,0x6908,70
\FMV\CHALL02.PSS,0x8f62,0x8f09,prev_marker,0x400,0x8f34,0x5f,43
\FMV\CHALL02.PSS,0x8f62,0x8f09,string,0x161c,0x8f37,0x5f4e,43
\FMV\CHALL02.PSS,0x8f62,0x8f09,string,0x400,0x8f34,0x5f,46
\FMV\CHALL02.PSS,0x8f62,0x8f09,prev_marker,0x161c,0x8f37,0x5f4e,46
FMV\INV1.PSS,0xd0d4,0xd093,string,0x1234,0xd13e,0x3f,106
FMV\ELF3.PSS,0xf311,0xf2d1,prev_marker,0x6b0,0xf29c,0x5f,53
FMV\ELF3.PSS,0xf311,0xf2d1,string,0x6b0,0xf29c,0x5f,117
